"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","17","","","","0"
"2001/2002","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","20","","","","0"
"2002/2003","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","14","","","","0"
"2003/2004","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","11","","","","0"
"2004/2005","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","4","","","","0"
"2005/2006","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","11","","","","0"
"2006/2007","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","7","","","","0"
"2007/2008","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","20","","","","0"
"2008/2009","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","14","","","","0"
"2009/2010","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","18","","","","0"
"2010/2011","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","20","","","","0"
"2011/2012","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","10","","","","0"
"2012/2013","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","10","","","","0"
"2013/2014","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","8","","","","0"
"2014/2015","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","11","","","","0"
"2015/2016","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","15","","","","0"
"2016/2017","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","16","","","","0"
"2017/2018","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","18","","","","0"
"2018/2019","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","9","","","","0"
"2019/2020","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","10","","","","0"
"2020/2021","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","6","","","","0"
"2021/2022","Yukon","2016A000260","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60463684","12.4.3.1.2.1","6","","","","0"
"1999/2000","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","66","","","","0"
"2000/2001","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","53","","","","0"
"2001/2002","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","36","","","","0"
"2002/2003","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","45","","","","0"
"2003/2004","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","20","","","","0"
"2004/2005","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","17","","","","0"
"2005/2006","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","15","","","","0"
"2006/2007","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","17","","","","0"
"2007/2008","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","34","","","","0"
"2008/2009","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","30","","","","0"
"2009/2010","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","29","","","","0"
"2010/2011","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","24","","","","0"
"2011/2012","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","10","","","","0"
"2012/2013","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","12","","","","0"
"2013/2014","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","21","","","","0"
"2014/2015","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","12","","","","0"
"2015/2016","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","12","","","","0"
"2016/2017","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","4","","","","0"
"2017/2018","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","4","","","","0"
"2018/2019","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","4","","","","0"
"2019/2020","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","5","","","","0"
"2020/2021","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","2","","","","0"
"2021/2022","Yukon","2016A000260","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470824","12.15.2.1.2.1","2","","","","0"
"1999/2000","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","50","","","","0"
"2000/2001","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","60","","","","0"
"2001/2002","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","53","","","","0"
"2002/2003","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","44","","","","0"
"2003/2004","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","24","","","","0"
"2004/2005","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","16","","","","0"
"2005/2006","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","22","","","","0"
"2006/2007","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","19","","","","0"
"2007/2008","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","24","","","","0"
"2008/2009","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","26","","","","0"
"2009/2010","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","22","","","","0"
"2010/2011","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","28","","","","0"
"2011/2012","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","12","","","","0"
"2012/2013","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","9","","","","0"
"2013/2014","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","9","","","","0"
"2014/2015","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","7","","","","0"
"2015/2016","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","19","","","","0"
"2016/2017","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","4","","","","0"
"2017/2018","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","11","","","","0"
"2018/2019","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","7","","","","0"
"2019/2020","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","5","","","","0"
"2020/2021","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","7","","","","0"
"2021/2022","Yukon","2016A000260","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60470944","12.15.3.1.2.1","2","","","","0"
"1999/2000","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","24","","","","0"
"2000/2001","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","18","","","","0"
"2001/2002","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","19","","","","0"
"2002/2003","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","25","","","","0"
"2003/2004","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","28","","","","0"
"2004/2005","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","20","","","","0"
"2005/2006","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","22","","","","0"
"2006/2007","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","13","","","","0"
"2007/2008","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","23","","","","0"
"2008/2009","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","25","","","","0"
"2009/2010","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","27","","","","0"
"2010/2011","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","15","","","","0"
"2011/2012","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","19","","","","0"
"2012/2013","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","7","","","","0"
"2013/2014","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","15","","","","0"
"2014/2015","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","12","","","","0"
"2015/2016","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","4","","","","0"
"2016/2017","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","10","","","","0"
"2017/2018","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","10","","","","0"
"2018/2019","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","12","","","","0"
"2019/2020","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","19","","","","0"
"2020/2021","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","8","","","","0"
"2021/2022","Northwest Territories","2016A000261","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516364","14.4.2.1.2.1","3","","","","0"
"1999/2000","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","18","","","","0"
"2000/2001","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","18","","","","0"
"2001/2002","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","25","","","","0"
"2002/2003","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","41","","","","0"
"2003/2004","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","20","","","","0"
"2004/2005","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","32","","","","0"
"2005/2006","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","30","","","","0"
"2006/2007","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","34","","","","0"
"2007/2008","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","39","","","","0"
"2008/2009","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","28","","","","0"
"2009/2010","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","29","","","","0"
"2010/2011","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","40","","","","0"
"2011/2012","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","23","","","","0"
"2012/2013","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","18","","","","0"
"2013/2014","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","20","","","","0"
"2014/2015","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","18","","","","0"
"2015/2016","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","10","","","","0"
"2016/2017","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","21","","","","0"
"2017/2018","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","17","","","","0"
"2018/2019","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","19","","","","0"
"2019/2020","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","14","","","","0"
"2020/2021","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","6","","","","0"
"2021/2022","Northwest Territories","2016A000261","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60516484","14.4.3.1.2.1","9","","","","0"
"1999/2000","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","112","","","","0"
"2000/2001","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","75","","","","0"
"2001/2002","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","95","","","","0"
"2002/2003","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","121","","","","0"
"2003/2004","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","72","","","","0"
"2004/2005","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","102","","","","0"
"2005/2006","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","85","","","","0"
"2006/2007","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","68","","","","0"
"2007/2008","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","62","","","","0"
"2008/2009","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","48","","","","0"
"2009/2010","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","49","","","","0"
"2010/2011","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","39","","","","0"
"2011/2012","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","18","","","","0"
"2012/2013","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","21","","","","0"
"2013/2014","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","22","","","","0"
"2014/2015","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","13","","","","0"
"2015/2016","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","11","","","","0"
"2016/2017","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","19","","","","0"
"2017/2018","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","13","","","","0"
"2018/2019","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","11","","","","0"
"2019/2020","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","9","","","","0"
"2020/2021","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","7","","","","0"
"2021/2022","Northwest Territories","2016A000261","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523624","14.15.2.1.2.1","1","","","","0"
"1999/2000","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","77","","","","0"
"2000/2001","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","62","","","","0"
"2001/2002","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","60","","","","0"
"2002/2003","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","79","","","","0"
"2003/2004","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","59","","","","0"
"2004/2005","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","70","","","","0"
"2005/2006","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","74","","","","0"
"2006/2007","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","58","","","","0"
"2007/2008","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","64","","","","0"
"2008/2009","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","50","","","","0"
"2009/2010","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","60","","","","0"
"2010/2011","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","41","","","","0"
"2011/2012","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","42","","","","0"
"2012/2013","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","37","","","","0"
"2013/2014","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","28","","","","0"
"2014/2015","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","20","","","","0"
"2015/2016","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","12","","","","0"
"2016/2017","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","6","","","","0"
