"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","24","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","22","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","20","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","18","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","14","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","11","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","27","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","21","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","27","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","14","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","18","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","9","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","23","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","16","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","15","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","7","","","","0"
"1999/2000","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","28","","","","0"
"2000/2001","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","11","","","","0"
"2001/2002","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","21","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","38","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","23","","","","0"
"2004/2005","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","15","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","27","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211684","3.4.3.1.2.1","27","","","","0"
